speciname | taxstat
Dioscorea floridana Bartlett | Accepted
Dioscorea fodinarum Kunth | Accepted
Dioscorea fordii Prain & Burkill | Accepted
Dioscorea formosana R.Knuth | Accepted
Dioscorea fractiflexa R.Knuth | Accepted
Dioscorea fuliginosa R.Knuth | Accepted
Dioscorea furcata Griseb. | Accepted
Dioscorea futschauensis Uline ex R.Knuth | Accepted
Dioscorea galeottiana Kunth | Accepted
Dioscorea galiiflora R.Knuth | Accepted
Dioscorea gallegosi Matuda | Accepted
Dioscorea garrettii Prain & Burkill | Accepted
Dioscorea gaumeri R.Knuth | Accepted
Dioscorea gentryi O.Téllez | Accepted
Dioscorea gillettii Milne-Redh. | Accepted
Dioscorea glabra Roxb. | Accepted
Dioscorea glandulosa (Griseb.) Klotzsch ex Kunth | Accepted
Dioscorea glomerulata Hauman | Accepted
Dioscorea gomez-pompae O.Téllez | Accepted
Dioscorea gracilicaulis R.Knuth | Accepted
Dioscorea gracilipes Prain & Burkill | Accepted
Dioscorea gracilis Hook. ex Poepp. | Accepted
Dioscorea gracillima Miq. | Accepted
Dioscorea grandiflora Mart. ex Griseb. | Accepted
Dioscorea grandis R.Knuth | Accepted
Dioscorea grata Prain & Burkill | Accepted
Dioscorea gribinguiensis Baudon | Accepted
Dioscorea grisebachii Kunth | Accepted
Dioscorea guerrerensis R.Knuth | Accepted
Dioscorea guianensis R.Knuth | Accepted
Dioscorea haenkeana C.Presl | Accepted
Dioscorea hamiltonii Hook.f. | Accepted
Dioscorea hassleriana Chodat | Accepted
Dioscorea hastata Mill. | Accepted
Dioscorea hastatissima Rusby | Accepted
Dioscorea hastifolia Nees | Accepted
Dioscorea hastiformis R.Knuth | Accepted
Dioscorea haumanii Xifreda | Accepted
Dioscorea havilandii Prain & Burkill | Accepted
Dioscorea hebridensis R.Knuth | Accepted
Dioscorea hemicrypta Burkill | Accepted
Dioscorea hemsleyi Prain & Burkill | Accepted
Dioscorea heptaneura Vell. | Accepted
Dioscorea herbert-smithii Rusby | Accepted
Dioscorea herzogii R.Knuth | Accepted
Dioscorea heteropoda Baker | Accepted
Dioscorea hexagona Baker | Accepted
Dioscorea hieronymi Uline ex R.Knuth | Accepted
Dioscorea hintonii R.Knuth | Accepted
Dioscorea hirtiflora Benth. | Accepted
Dioscorea hispida Dennst. | Accepted
Dioscorea holmioidea Maury | Accepted
Dioscorea hombuka H.Perrier | Accepted
Dioscorea hondurensis R.Knuth | Accepted
Dioscorea howardiana O.Téllez, B.G.Schub. & Geeta | Accepted
Dioscorea humifusa Poepp. | Accepted
Dioscorea humilis Bertero ex Colla | Accepted
Dioscorea hunzikeri Xifreda | Accepted
Dioscorea igualamontana Matuda | Accepted
Dioscorea incayensis R.Knuth | Accepted
Dioscorea inopinata Prain & Burkill | Accepted
Dioscorea insignis C.V.Morton & B.G.Schub. | Accepted
Dioscorea intermedia Thwaites | Accepted
Dioscorea ionophylla Uline ex R.Knuth | Accepted
Dioscorea iquitosensis R.Knuth | Accepted
Dioscorea irupanensis R.Knuth | Accepted
Dioscorea itapirensis R.Knuth | Accepted
Dioscorea itatiensis R.Knuth | Accepted
Dioscorea jaliscana S.Watson | Accepted
Dioscorea jamesonii R.Knuth | Accepted
Dioscorea japonica Thunb. | Accepted
Dioscorea javariensis Ayala | Accepted
Dioscorea juxtlahuacensis (O.Téllez & Dávila) Caddick & Wilkin | Accepted
Dioscorea kalkapershadii Prain & Burkill | Accepted
Dioscorea kamoonensis Kunth | Accepted
Dioscorea karatana Wilkin | Accepted
Dioscorea keduensis Burkill ex Backer | Accepted
Dioscorea kerrii Prain & Burkill | Accepted
Dioscorea killipii R.Knuth | Accepted
Dioscorea kingii R.Knuth | Accepted
Dioscorea kjellbergii R.Knuth | Accepted
Dioscorea knuthiana De Wild. | Accepted
Dioscorea koepperi Standl. | Accepted
Dioscorea koyamae Jayas. | Accepted
Dioscorea kratica Prain & Burkill | Accepted
Dioscorea kuntzei Uline ex Kuntze | Accepted
Dioscorea lacerdaei Griseb. | Accepted
Dioscorea laevis Uline | Accepted
Dioscorea lamprocaula Prain & Burkill | Accepted
Dioscorea lanata Bail | Accepted
Dioscorea larecajensis Uline ex R.Knuth | Accepted
Dioscorea lasseriana Steyerm. | Accepted
Dioscorea laurifolia Wall. ex Hook.f. | Accepted
Dioscorea lawrancei R.Knuth | Accepted
Dioscorea laxiflora Mart. ex Griseb. | Accepted
Dioscorea lehmannii Uline | Accepted
Dioscorea lepcharum Prain & Burkill | Accepted
Dioscorea lepida C.V.Morton | Accepted
Dioscorea leptobotrys Uline ex R.Knuth | Accepted
Dioscorea liebmannii Uline | Accepted
Dioscorea lijiangensis C.L.Long & H.Li | Accepted
Dioscorea linearicordata Prain & Burkill | Accepted
Dioscorea lisae Dorr & Stergios | Accepted
Dioscorea listeri Prain & Burkill | Accepted
Dioscorea litoralis Phil. | Accepted
Dioscorea loefgrenii R.Knuth | Accepted
Dioscorea loheri Prain & Burkill | Accepted
Dioscorea longicuspis R.Knuth | Accepted
Dioscorea longipes Phil. | Accepted
Dioscorea longirhiza Caddick & Wilkin | Accepted
Dioscorea longituba Uline | Accepted
Dioscorea lundii Uline ex R.Knuth | Accepted
Dioscorea luzonensis Schauer | Accepted
Dioscorea macbrideana R.Knuth | Accepted
Dioscorea macrantha Uline ex R.Knuth | Accepted
Dioscorea macrothyrsa Uline | Accepted
Dioscorea macvaughii B.G.Schub. | Accepted
Dioscorea madecassa H.Perrier | Accepted
Dioscorea madiunensis Prain & Burkill | Accepted
Dioscorea maianthemoides Uline ex R.Knuth | Accepted
Dioscorea mamillata Jum. & H.Perrier | Accepted
Dioscorea mandonii Rusby | Accepted
Dioscorea mangenotiana J.Miège | Accepted
Dioscorea mantigueirensis R.Knuth | Accepted
Dioscorea margarethia G.M.Barroso, E.F.Guim. & Sucre | Accepted
Dioscorea marginata Griseb. | Accepted
Dioscorea martensis R.Knuth | Accepted
Dioscorea martiana Griseb. | Accepted
Dioscorea martini Prain & Burkill | Accepted
Dioscorea matagalpensis Uline | Accepted
Dioscorea matudae O.Téllez & B.G.Schub. | Accepted
Dioscorea mayottensis Wilkin | Accepted
Dioscorea megacarpa Gleason | Accepted
Dioscorea megalantha Griseb. | Accepted
Dioscorea melanophyma Prain & Burkill | Accepted
Dioscorea melastomatifolia Uline ex Prain | Accepted
Dioscorea membranacea Pierre ex Prain & Burkill | Accepted
Dioscorea menglaensis H.Li | Accepted
Dioscorea meridensis Kunth | Accepted
Dioscorea merrillii Prain & Burkill | Accepted
Dioscorea mesoamericana O.Téllez & Mart.-Rodr. | Accepted
Dioscorea mexicana Scheidw. | Accepted
Dioscorea microbotrya Griseb. | Accepted
Dioscorea microcephala Uline | Accepted
Dioscorea microura R.Knuth | Accepted
Dioscorea militaris C.B.Rob. | Accepted
Dioscorea mindanaensis R.Knuth | Accepted
Dioscorea minima C.B.Rob. & Seaton | Accepted
Dioscorea minutiflora Engl. | Accepted
Dioscorea mitis C.V.Morton | Accepted
Dioscorea mitoensis R.Knuth | Accepted
Dioscorea modesta Phil. | Accepted
Dioscorea mollis Kunth | Accepted
Dioscorea monadelpha (Kunth) Griseb. | Accepted
Dioscorea monandra Hauman | Accepted
Dioscorea morelosana (Uline) Matuda | Accepted
Dioscorea moritziana (Kunth) R.Knuth | Accepted
Dioscorea mosqueirensis R.Knuth | Accepted
Dioscorea moultonii Prain & Burkill | Accepted
Dioscorea moyobambensis R.Knuth | Accepted
Dioscorea mucronata Uline ex R.Knuth | Accepted
Dioscorea multiflora Mart. ex Griseb. | Accepted
Dioscorea multiloba Kunth | Accepted
Dioscorea multinervis Benth. | Accepted
Dioscorea mundtii Baker | Accepted
Dioscorea nako H.Perrier | Accepted
Dioscorea namorokensis Wilkin | Accepted
Dioscorea nana Poepp. | Accepted
Dioscorea nanlaensis H.Li | Accepted
Dioscorea natalensis R.Knuth | Accepted
Dioscorea natalia Hammel | Accepted
Dioscorea neblinensis Maguire & Steyerm. | Accepted
Dioscorea nelsonii Uline ex R.Knuth | Accepted
Dioscorea nematodes Uline ex R.Knuth | Accepted
Dioscorea nervata R.Knuth | Accepted
Dioscorea nervosa Phil. | Accepted
Dioscorea nicolasensis R.Knuth | Accepted
Dioscorea nieuwenhuisii Prain & Burkill | Accepted
Dioscorea nipensis R.A.Howard | Accepted
Dioscorea nipponica Makino | Accepted
Dioscorea nitens Prain & Burkill | Accepted
Dioscorea nuda R.Knuth | Accepted
Dioscorea nummularia Lam. | Accepted
Dioscorea nutans R.Knuth | Accepted
Dioscorea oaxacensis Uline | Accepted
Dioscorea obcuneata Hook.f. | Accepted
Dioscorea oblonga Gleason | Accepted
Dioscorea oblongifolia Rusby | Accepted
Dioscorea obtusifolia Hook. & Arn. | Accepted
Dioscorea olfersiana Klotzsch ex Griseb. | Accepted
Dioscorea oligophylla Phil. | Accepted
Dioscorea omiltemensis O.Téllez | Accepted
Dioscorea opaca R.Knuth | Accepted
Dioscorea oppositiflora Griseb. | Accepted
Dioscorea oppositifolia L. | Accepted
Dioscorea orbiculata Hook.f. | Accepted
Dioscorea oreodoxa B.G.Schub. | Accepted
Dioscorea organensis R.Knuth | Accepted
Dioscorea orientalis (J.Thiébaut) Caddick & Wilkin | Accepted
Dioscorea orizabensis Uline | Accepted
Dioscorea orthogoneura Uline ex Hochr. | Accepted
Dioscorea oryzetorum Prain & Burkill | Accepted
Dioscorea ovalifolia R.Knuth | Accepted
Dioscorea ovata Vell. | Accepted
Dioscorea ovinala Baker | Accepted
Dioscorea palawana Prain & Burkill | Accepted
Dioscorea paleata Burkill | Accepted
Dioscorea pallens Schltdl. | Accepted
Dioscorea pallidinervia R.Knuth | Accepted
Dioscorea palmeri R.Knuth | Accepted
Dioscorea panamensis R.Knuth | Accepted
Dioscorea panthaica Prain & Burkill | Accepted
Dioscorea pantojensis R.Knuth | Accepted
Dioscorea paradoxa Prain & Burkill | Accepted
Dioscorea pavonii Uline ex R.Knuth | Accepted
Dioscorea pedicellata Phil. | Accepted
Dioscorea pencana Phil. | Accepted
Dioscorea pendula Poepp. ex Kunth | Accepted
Dioscorea pentaphylla L. | Accepted
Dioscorea peperoides Prain & Burkill | Accepted
Dioscorea perdicum Taub. | Accepted
Dioscorea perenensis R.Knuth | Accepted
Dioscorea perpilosa H.Perrier | Accepted
Dioscorea petelotii Prain & Burkill | Accepted
Dioscorea philippiana Uline ex R.Knuth | Accepted
Dioscorea piauhyensis R.Knuth | Accepted
Dioscorea pierrei Prain & Burkill | Accepted
Dioscorea pilcomayensis Hauman | Accepted
Dioscorea pilgeriana R.Knuth | Accepted
Dioscorea pilosiuscula Bertero ex Spreng. | Accepted
Dioscorea pinedensis R.Knuth | Accepted
Dioscorea piperifolia Humb. & Bonpl. ex Willd. | Accepted
Dioscorea piscatorum Prain & Burkill | Accepted
Dioscorea pittieri R.Knuth | Accepted
Dioscorea planistipulosa Uline ex R.Knuth | Accepted
Dioscorea plantaginifolia R.Knuth | Accepted
Dioscorea platycarpa Prain & Burkill | Accepted
Dioscorea platycolpota Uline ex B.L.Rob. | Accepted
Dioscorea plumifera C.B.Rob. | Accepted
Dioscorea pohlii Griseb. | Accepted
Dioscorea poilanei Prain & Burkill | Accepted
Dioscorea polyanthes (F.Phil.) Caddick & Wilkin | Accepted
Dioscorea polyclados Hook.f. | Accepted
Dioscorea polygonoides Humb. & Bonpl. ex Willd. | Accepted
Dioscorea polystachya Turcz. | Accepted
Dioscorea pomeroonensis R.Knuth | Accepted
Dioscorea potarensis R.Knuth | Accepted
Dioscorea praehensilis Benth. | Accepted
Dioscorea prainiana R.Knuth | Accepted
Dioscorea prazeri Prain & Burkill | Accepted
Dioscorea preslii Steud. | Accepted
Dioscorea preussii Pax | Accepted
Dioscorea pringlei C.B.Rob. | Accepted
Dioscorea proteiformis H.Perrier | Accepted
Dioscorea psammophila R.Knuth | Accepted
Dioscorea pseudomacrocapsa G.M.Barroso, E.F.Guim. & Sucre | Accepted
Dioscorea pseudonitens Prain & Burkill | Accepted
Dioscorea pseudorajanioides R.Knuth | Accepted
Dioscorea pseudotomentosa Prain & Burkill | Accepted
Dioscorea pteropoda Boivin ex H.Perrier | Accepted
Dioscorea pubera Blume | Accepted
Dioscorea pubescens Poir. | Accepted
Dioscorea pumicicola Uline | Accepted
Dioscorea pumilio Griseb. | Accepted
Dioscorea puncticulata R.Knuth | Accepted
Dioscorea purdiei R.Knuth | Accepted
Dioscorea putisensis R.Knuth | Accepted
Dioscorea putumayensis R.Knuth | Accepted
Dioscorea pynaertii De Wild. | Accepted
Dioscorea pyrenaica Bubani & Bordère ex Gren. | Accepted
Dioscorea pyrifolia Kunth | Accepted
Dioscorea quartiniana A.Rich. | Accepted
Dioscorea quinquelobata Thunb. | Accepted
Dioscorea quispicanchensis R.Knuth | Accepted
Dioscorea racemosa (Klotzsch) Uline | Accepted
Dioscorea regnellii Uline ex R.Knuth | Accepted
Dioscorea remota C.V.Morton | Accepted
Dioscorea remotiflora Kunth | Accepted
Dioscorea reticulata Gay | Accepted
Dioscorea retusa Mast. | Accepted
Dioscorea reversiflora Uline | Accepted
Dioscorea ridleyi Prain & Burkill | Accepted
Dioscorea riedelii R.Knuth | Accepted
Dioscorea rigida R.Knuth | Accepted
Dioscorea rimbachii R.Knuth | Accepted
Dioscorea rockii Prain & Burkill | Accepted
Dioscorea rosei R.Knuth | Accepted
Dioscorea rumicoides Griseb. | Accepted
Dioscorea rupicola Kunth | Accepted
Dioscorea rusbyi Uline | Accepted
Dioscorea sabarensis R.Knuth | Accepted
Dioscorea sagittata Poir. | Accepted
Dioscorea sagittifolia Pax | Accepted
Dioscorea salicifolia Blume | Accepted
Dioscorea salvadorensis Standl. | Accepted
Dioscorea sambiranensis R.Knuth | Accepted
Dioscorea sanchez-colini Matuda | Accepted
Dioscorea sandiensis R.Knuth | Accepted
Dioscorea sandwithii B.G.Schub. | Accepted
Dioscorea sanpaulensis R.Knuth | Accepted
Dioscorea sansibarensis Pax | Accepted
Dioscorea santanderensis R.Knuth | Accepted
Dioscorea santosensis R.Knuth | Accepted
Dioscorea sarasinii Uline ex R.Knuth | Accepted
Dioscorea saxatilis Poepp. | Accepted
Dioscorea scabra Humb. & Bonpl. ex Willd. | Accepted
Dioscorea schimperiana Hochst. ex Kunth | Accepted
Dioscorea schubertiae Ayala | Accepted
Dioscorea schunkei Ayala & T.Clayton | Accepted
Dioscorea schwackei Uline ex R.Knuth | Accepted
Dioscorea scortechinii Prain & Burkill | Accepted
Dioscorea secunda R.Knuth | Accepted
Dioscorea sellowiana Uline ex R.Knuth | Accepted
Dioscorea semperflorens Uline | Accepted
Dioscorea septemloba Thunb. | Accepted
Dioscorea septemnervis Vell. | Accepted
Dioscorea sericea R.Knuth | Accepted
Dioscorea seriflora Jum. & H.Perrier | Accepted
Dioscorea serpenticola Hoque & P.K.Mukh. | Accepted
Dioscorea sessiliflora McVaugh | Accepted
Dioscorea sexrimata Burkill | Accepted
Dioscorea simulans Prain & Burkill | Accepted
Dioscorea sincorensis R.Knuth | Accepted
Dioscorea sinoparviflora C.T.Ting, M.G.Gilbert & Turland | Accepted
Dioscorea sinuata Vell. | Accepted
Dioscorea sitamiana Prain & Burkill | Accepted
Dioscorea skottsbergii R.Knuth | Accepted
Dioscorea smilacifolia De Wild. & T.Durand | Accepted
Dioscorea sonlaensis R.Knuth | Accepted
Dioscorea sororopana Steyerm. | Accepted
Dioscorea soso Jum. & H.Perrier | Accepted
Dioscorea spectabilis R.Knuth | Accepted
Dioscorea spicata Roth | Accepted
Dioscorea spiculiflora Hemsl. | Accepted
Dioscorea spiculoides Matuda | Accepted
Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao | Accepted
Dioscorea sprucei Uline ex R.Knuth | Accepted
Dioscorea standleyi C.V.Morton | Accepted
Dioscorea stegelmanniana R.Knuth | Accepted
Dioscorea stellaris R.Knuth | Accepted
Dioscorea stemonoides Prain & Burkill | Accepted
Dioscorea stenocolpus Phil. | Accepted
Dioscorea stenomeriflora Prain & Burkill | Accepted
Dioscorea stenopetala Hauman | Accepted
Dioscorea stenophylla Uline | Accepted
Dioscorea sterilis O.Weber & Wilkin | Accepted
Dioscorea stipulosa Uline ex R.Knuth | Accepted
Dioscorea subcalva Prain & Burkill | Accepted
Dioscorea subhastata Vell. | Accepted
Dioscorea sublignosa R.Knuth | Accepted
Dioscorea submigra R.Knuth | Accepted
Dioscorea subtomentosa Miranda | Accepted
Dioscorea sumatrana Prain & Burkill | Accepted
Dioscorea sumiderensis B.G.Schub. & O.Téllez | Accepted
Dioscorea suratensis R.Knuth | Accepted
Dioscorea sylvatica Eckl. | Accepted
Dioscorea synandra Uline | Accepted
Dioscorea syringifolia (Kunth) Kunth & R.H.Schomb. ex R.Knuth | Accepted
Dioscorea tabatae Hatus. ex Yamashita & M.N.Tamura | Accepted
Dioscorea tacanensis Lundell | Accepted
Dioscorea tamarisciflora Prain & Burkill | Accepted
Dioscorea tamoidea Griseb. | Accepted
Dioscorea tamshiyacuensis Ayala | Accepted
Dioscorea tanalarum H.Perrier | Accepted
Dioscorea tancitarensis Matuda | Accepted
Dioscorea tarijensis R.Knuth | Accepted
Dioscorea tarmensis R.Knuth | Accepted
Dioscorea tauriglossum R.Knuth | Accepted
Dioscorea tayacajensis R.Knuth | Accepted
Dioscorea temascaltepecensis R.Knuth | Accepted
Dioscorea tenebrosa C.V.Morton | Accepted
Dioscorea tenella Phil. | Accepted
Dioscorea tentaculigera Prain & Burkill | Accepted
Dioscorea tenuipes Franch. & Sav. | Accepted
Dioscorea tenuiphyllum R.Knuth | Accepted
Dioscorea tenuis R.Knuth | Accepted
