speciname | taxstat
Calicharis butcheri (Traub) Meerow | Accepted
Caliphruria hartwegiana Herb. | Accepted
Caliphruria korsakoffii (Traub) Meerow | Accepted
Caliphruria subedentata Baker | Accepted
Caliphruria tenera Baker | Accepted
Calostemma abdicatum P.J.Lang | Accepted
Calostemma luteum Sims | Accepted
Calostemma purpureum R.Br. | Accepted
Castellanoa marginata (R.E.Fr.) Traub | Accepted
Castellanoa yaviensis Ravenna | Accepted
Cearanthes fuscoviolacea Ravenna | Accepted
Chlidanthus boliviensis Traub & I.S.Nelson | Accepted
Chlidanthus cardenasii Traub | Accepted
Chlidanthus fragrans Herb. | Accepted
Chlidanthus soratensis (Baker) Ravenna | Accepted
Clinanthus callacallensis (Ravenna) Meerow | Accepted
Clinanthus campodensis (Ravenna) Meerow | Accepted
Clinanthus caracensis (Ravenna) Meerow | Accepted
Clinanthus chihuanhuayu (Cárdenas) Meerow | Accepted
Clinanthus coccineus (Ruiz & Pav.) Meerow | Accepted
Clinanthus croceus (Savigny) Meerow | Accepted
Clinanthus elwesii (Baker) Meerow | Accepted
Clinanthus flammidus (Ravenna) Meerow | Accepted
Clinanthus fulvus (Herb.) Meerow | Accepted
Clinanthus glareosus (Ravenna) Meerow | Accepted
Clinanthus humilis (Herb.) Meerow | Accepted
Clinanthus imasumacc (Vargas) Meerow | Accepted
Clinanthus incarnatus (Kunth) Meerow | Accepted
Clinanthus incarum (Kraenzl.) Meerow | Accepted
Clinanthus luteus Herb. | Accepted
Clinanthus macleanicus (Herb.) Meerow | Accepted
Clinanthus microstephium (Ravenna) Meerow | Accepted
Clinanthus mirabilis (Ravenna) Meerow | Accepted
Clinanthus recurvatus (Ruiz & Pav.) Meerow | Accepted
Clinanthus sunchubambae (Ravenna) Meerow | Accepted
Clinanthus variegatus (Ruiz & Pav.) Meerow | Accepted
Clinanthus viridiflorus (Ruiz & Pav.) Meerow | Accepted
Clivia caulescens R.A.Dyer | Accepted
Clivia gardenii Hook. | Accepted
Clivia miniata (Lindl.) Bosse | Accepted
Clivia mirabilis Rourke | Accepted
Clivia nimbicola Swanev., Truter & A.E.van Wyk | Accepted
Clivia nobilis Lindl. | Accepted
Clivia robusta B.G.Murray & al. | Accepted
Crinum abyssinicum Hochst. ex A.Rich. | Accepted
Crinum acaule Baker | Accepted
Crinum album (Forssk.) Herb. | Accepted
Crinum amabile Donn | Accepted
Crinum amazonicum Ravenna | Accepted
Crinum americanum L. | Accepted
Crinum amoenum Roxb. ex Ker Gawl. | Accepted
Crinum amphibium Bjorå & Nordal | Accepted
Crinum arenarium Herb. | Accepted
Crinum asiaticum L. | Accepted
Crinum augustum Roxb. | Accepted
Crinum aurantiacum Lehmiller | Accepted
Crinum bakeri K.Schum. | Accepted
Crinum balfourii Baker | Accepted
Crinum bambusetum Nordal & Sebsebe | Accepted
Crinum belleymei Hérincq | Accepted
Crinum biflorum Rottb. | Accepted
Crinum binghamii Nordal & Kwembeya | Accepted
Crinum brachynema Herb. | Accepted
Crinum braunii Harms | Accepted
Crinum brevilobatum McCue | Accepted
Crinum bulbispermum (Burm.f.) Milne-Redh. & Schweick. | Accepted
Crinum buphanoides Welw. ex Baker | Accepted
Crinum calamistratum Bogner & Heine | Accepted
Crinum campanulatum Herb. | Accepted
Crinum carolo-schmidtii Dinter | Accepted
Crinum crassicaule Baker | Accepted
Crinum darienense Woodson | Accepted
Crinum eleonorae Blatt. & McCann | Accepted
Crinum erubescens L.f. ex Aiton | Accepted
Crinum erythrophyllum Carey ex Herb. | Accepted
Crinum filifolium H.Perrier | Accepted
Crinum fimbriatulum Baker | Accepted
Crinum firmifolium Baker | Accepted
Crinum flaccidum Herb. | Accepted
Crinum forgetii C.H.Wright | Accepted
Crinum giessii Lehmiller | Accepted
Crinum glaucum A.Chev. | Accepted
Crinum gracile G.Mey. ex C.Presl | Accepted
Crinum graciliflorum Kunth & C.D.Bouché | Accepted
Crinum graminicola I.Verd. | Accepted
Crinum hanitrae Lehmiller & Sisk | Accepted
Crinum hardyi Lehmiller | Accepted
Crinum harmsii Baker | Accepted
Crinum hildebrandtii Vatke | Accepted
Crinum humile Herb. | Accepted
Crinum jagus (J.Thomps.) Dandy | Accepted
Crinum jasonii Bjorå & Nordal | Accepted
Crinum kirkii Baker | Accepted
Crinum kunthianum M.Roem. | Accepted
Crinum latifolium L. | Accepted
Crinum lavrani Lehmiller | Accepted
Crinum lineare L.f. | Accepted
Crinum longitubum Pax | Accepted
Crinum lorifolium Roxb. ex Ker Gawl. | Accepted
Crinum lugardiae N.E.Br. | Accepted
Crinum macowanii Baker | Accepted
Crinum majakallense Baker | Accepted
Crinum mauritianum Lodd. | Accepted
Crinum mccoyi Lehmiller | Accepted
Crinum minimum Milne-Redh. | Accepted
