speciname | taxstat
Gymnanthes actinostemoides Müll.Arg. | Accepted
Gymnanthes albicans (Griseb.) Urb. | Accepted
Gymnanthes belizensis G.L.Webster | Accepted
Gymnanthes borneensis (Pax & K.Hoffm.) Esser | Accepted
Gymnanthes discolor (Spreng.) Müll.Arg. | Accepted
Gymnanthes dressleri G.L.Webster | Accepted
Gymnanthes elliptica Sw. | Accepted
Gymnanthes farinosa (Griseb.) G.L.Webster | Accepted
Gymnanthes gaudichaudii Müll.Arg. | Accepted
Gymnanthes glabrata (Mart.) Govaerts | Accepted
Gymnanthes glandulosa (Sw.) Müll.Arg. | Accepted
Gymnanthes guyanensis Müll.Arg. | Accepted
Gymnanthes hypoleuca Benth. | Accepted
Gymnanthes inopinata (Prain) Esser | Accepted
Gymnanthes insolita Ferris | Accepted
Gymnanthes integra Fawc. & Rendle | Accepted
Gymnanthes leonardii-crispi (J.Léonard) ined. | Accepted
Gymnanthes longipes Müll.Arg. | Accepted
Gymnanthes lucida Sw. | Accepted
Gymnanthes nervosa Müll.Arg. | Accepted
Gymnanthes pallens (Griseb.) Müll.Arg. | Accepted
Gymnanthes recurva Urb. | Accepted
Gymnanthes remota (Steenis) Esser | Accepted
Gymnanthes riparia (Schltdl.) Klotzsch | Accepted
Gymnanthes widgrenii Müll.Arg. | Accepted
Haematostemon coriaceus (Baill.) Pax & K.Hoffm. | Accepted
Haematostemon guianensis Sandwith | Accepted
Hamilcoa zenkeri (Pax) Prain | Accepted
Hancea acuminata (Baill.) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea capuronii (Leandri) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea cordatifolia (Slik) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea eucausta (Airy Shaw) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea grandistipularis (Slik) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea griffithiana (Müll.Arg.) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea hirsuta (Elmer) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea hookeriana Seem. | Accepted
Hancea integrifolia (Willd.) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea kingii (Hook.f.) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea longistyla (Merr.) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea papuana (J.J.Sm.) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea penangensis (Müll.Arg.) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea spinulosa (McPherson) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea stipularis (Airy Shaw) S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea subpeltata (Blume) M.Aparicio ex S.E.C.Sierra, Kulju & Welzen | Accepted
Hancea wenzeliana (Slik) S.E.C.Sierra, Kulju & Welzen | Accepted
Hevea benthamiana Müll.Arg. | Accepted
Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg. | Accepted
Hevea camporum Ducke | Accepted
Hevea guianensis Aubl. | Accepted
Hevea microphylla Ule | Accepted
Hevea nitida Mart. ex Müll.Arg. | Accepted
Hevea pauciflora (Spruce ex Benth.) Müll.Arg. | Accepted
Hevea rigidifolia (Spruce ex Benth.) Müll.Arg. | Accepted
Hevea spruceana (Benth.) Müll.Arg. | Accepted
Hippomane horrida Urb. & Ekman | Accepted
Hippomane mancinella L. | Accepted
Hippomane spinosa L. | Accepted
Homalanthus acuminatus (Müll.Arg.) Pax | Accepted
Homalanthus arfakiensis Hutch. | Accepted
Homalanthus caloneurus Airy Shaw | Accepted
Homalanthus ebracteatua Guillaumin | Accepted
Homalanthus fastuosus (Linden) Fern.-Vill. | Accepted
Homalanthus giganteus Zoll. & Moritzi | Accepted
Homalanthus grandifolius Ridl. | Accepted
Homalanthus longipes Pax & K.Hoffm. | Accepted
Homalanthus longistylus K.Schum. & Lauterb. | Accepted
Homalanthus macradenius Pax & K.Hoffm. | Accepted
Homalanthus nervosus J.J.Sm. | Accepted
Homalanthus novoguineensis (Warb.) K.Schum. | Accepted
Homalanthus nutans (G.Forst.) Guill. | Accepted
Homalanthus polyadenius Pax & K.Hoffm. | Accepted
Homalanthus polyandrus (Hook.f. ex Müll.Arg.) Cheeseman | Accepted
Homalanthus populifolius Graham | Accepted
Homalanthus populneus (Geiseler) Pax | Accepted
Homalanthus remotus Esser | Accepted
Homalanthus repandus Schltr. | Accepted
Homalanthus schlechteri Pax & K.Hoffm. | Accepted
Homalanthus stillingifolius F.Muell. | Accepted
Homalanthus stokesii F.Brown | Accepted
Homalanthus trivalvis Airy Shaw | Accepted
Homonoia intermedia Haines | Accepted
Homonoia retusa (Graham ex Wight) Müll.Arg. | Accepted
Homonoia riparia Lour. | Accepted
Hura crepitans L. | Accepted
Hura polyandra Baill. | Accepted
Hylandia dockrillii Airy Shaw | Accepted
Jatropha aceroides (Pax & K.Hoffm.) Hutch. | Accepted
Jatropha aethiopica Müll.Arg. | Accepted
Jatropha afrotuberosa Radcl.-Sm. & Govaerts | Accepted
Jatropha alamanii Müll.Arg. | Accepted
Jatropha andrieuxii Müll.Arg. | Accepted
Jatropha angustifolia Griseb. | Accepted
Jatropha aspleniifolia Pax | Accepted
Jatropha atacorensis A.Chev. | Accepted
Jatropha augustii Pax & K.Hoffm. | Accepted
Jatropha bartlettii Wilbur | Accepted
Jatropha baumii Pax | Accepted
Jatropha bornmuelleri Pax | Accepted
Jatropha botswanica Radcl.-Sm. | Accepted
Jatropha breviloba (Morong) Pax & K.Hoffm. | Accepted
Jatropha brockmanii Hutch. | Accepted
Jatropha bullockii E.J.Lott | Accepted
