speciname | taxstat
Acanthopale albosetulosa C.B.Clarke | Accepted
Acanthopale confertiflora (Lindau) C.B.Clarke | Accepted
Acanthopale decempedalis C.B.Clarke | Accepted
Acanthopale laxiflora (Lindau) C.B.Clarke | Accepted
Acanthopale longipilosa Mildbr. ex Bremek. | Accepted
Acanthopale macrocarpa Vollesen | Accepted
Acanthopale madagascariensis (Baker) C.B.Clarke ex Bremek. | Accepted
Acanthopale pubescens (Lindau) C.B.Clarke | Accepted
Acanthopsis carduifolia (L.f.) Schinz | Accepted
Acanthopsis disperma Harv. | Accepted
Acanthopsis glauca (E.Mey.) Schinz | Accepted
Acanthopsis hoffmannseggiana (Nees) C.B.Clarke | Accepted
Acanthopsis horrida (Nees) Nees | Accepted
Acanthopsis scullyi (S.Moore) Oberm. | Accepted
Acanthopsis spathularis (E.Mey.) Schinz | Accepted
Acanthopsis trispina C.B.Clarke | Accepted
Acanthura mattogrossensis Lindau | Accepted
Acanthus arboreus Forssk. | Accepted
Acanthus austromontanus Vollesen | Accepted
Acanthus carduaceus Griff. | Accepted
Acanthus caudatus Lindau | Accepted
Acanthus dioscoridis L. | Accepted
Acanthus ebracteatus Vahl | Accepted
Acanthus eminens C.B.Clarke | Accepted
Acanthus flexicaulis Bremek | Accepted
Acanthus gaed Lindau | Accepted
Acanthus greuterianus Snogerup, B.Snogerup & Strid | Accepted
Acanthus guineensis Heine & P.Taylor | Accepted
Acanthus hirsutus Boiss. | Accepted
Acanthus hungaricus (Borbás) Baen. | Accepted
Acanthus ilicifolius L. | Accepted
Acanthus kulalensis Vollesen | Accepted
Acanthus latisepalus C.B.Clarke | Accepted
Acanthus leucostachyus Wall. ex Nees | Accepted
Acanthus longibracteatus Kurz | Accepted
Acanthus mayaccanus Büttner | Accepted
Acanthus mollis L. | Accepted
Acanthus montanus (Nees) T.Anderson | Accepted
Acanthus polystachius Delile | Accepted
Acanthus sennii Chiov. | Accepted
Acanthus seretii De Wild. | Accepted
Acanthus spinosus L. | Accepted
Acanthus ueleensis De Wild. | Accepted
Acanthus villaeanus De Wild. | Accepted
Acanthus volubilis Wall. | Accepted
Acanthus xiamenensis R.T.Zhang | Accepted
Achyrocalyx decaryi Benoist | Accepted
Achyrocalyx gossypinus Benoist | Accepted
Achyrocalyx pungens Benoist | Accepted
Achyrocalyx vicinus Benoist | Accepted
Adhatoda densiflora Manning | Accepted
Aechmanthera claudiae Bernardi | Accepted
Aechmanthera gossypina (Wall. ex Nees) Nees | Accepted
Aechmanthera leiosperma C.B.Clarke | Accepted
Afrofittonia silvestris Lindau | Accepted
Ambongia perrieri Benoist | Accepted
Ancistranthus harpochiloides (M.Gómez) Lindau | Accepted
Andrographis affinis Nees | Accepted
Andrographis alata (Vahl) Nees | Accepted
Andrographis atropurpurea (Dennst.) Alston | Accepted
Andrographis beddomei C.B.Clarke | Accepted
Andrographis chendurunii E.S.S.Kumar, A.E.S.Khan & S.G.Gopal | Accepted
Andrographis echioides (L.f.) Nees | Accepted
Andrographis elongata (Vahl) T.Anderson | Accepted
Andrographis explicata (C.B.Clarke) Gamble | Accepted
Andrographis glandulosa Nees | Accepted
Andrographis hygrophiloides (T.Anderson) W.J.Kress & DeFilipps | Accepted
