speciname | taxstat
Petradoria pumila (Nutt.) Greene | Accepted
Petrobium arboreum (J.R.Forst. & G.Forst.) R.Br. ex Spreng. | Accepted
Peucephyllum schottii A.Gray | Accepted
Phacellothrix cladochaeta (F.Muell.) F.Muell. | Accepted
Phaecasium lampsanoides Cass. | Accepted
Phaenocoma prolifera (L.) D.Don | Accepted
Phaeopappus scleroblepharus Freyn | Accepted
Phagnalon abyssinicum A.Rich. | Accepted
Phagnalon barbeyanum Asch. & Graebn. | Accepted
Phagnalon bicolor Ball | Accepted
Phagnalon calycinum (Cav.) DC. | Accepted
Phagnalon daravazicum Krasch. | Accepted
Phagnalon darvasicum Krasch. | Accepted
Phagnalon garamantum Maire | Accepted
Phagnalon kotschyi Sch.Bip. ex Boiss. | Accepted
Phagnalon latifolium Maire | Accepted
Phagnalon lavranosii Qaiser & Lack | Accepted
Phagnalon melanoleucum Webb | Accepted
Phagnalon nitidum Fresen. | Accepted
Phagnalon niveum Edgew. | Accepted
Phagnalon phagnaloides (Sch.Bip. ex A.Rich.) Cufod. | Accepted
Phagnalon pygmaeum (Sieber) Greuter | Accepted
Phagnalon quartinianum A.Rich. | Accepted
Phagnalon rupestre (L.) DC. | Accepted
Phagnalon saxatile (L.) Cass. | Accepted
Phagnalon schweinfurthii Sch.Bip. ex Schweinf. | Accepted
Phagnalon sordidum (L.) Rchb. | Accepted
Phagnalon stenolepis Chiov. | Accepted
Phagnalon umbelliforme DC. | Accepted
Phagnalon viridifolium Decne. | Accepted
Phalacrachena calva (Ledeb.) Iljin | Accepted
Phalacrachena inuloides (Fisch. ex Janka) Iljin | Accepted
Phalacraea callitricha (B.L.Rob.) R.M.King & H.Rob. | Accepted
Phalacraea latifolia DC. | Accepted
Phalacraea longipetiolata (B.L.Rob.) R.M.King & H.Rob. | Accepted
Phalacrocarpum oppositifolium (Brot.) Willk. | Accepted
Phalacrocarpum sericeum Henriq. | Accepted
Phalacrocarpum victoriae Sennen & Elias | Accepted
Phalacroloma strigosum (Muhl. ex Willd.) Tzvelev | Accepted
Phalacroseris bolanderi A.Gray | Accepted
Phaneroglossa bolusii (Oliv.) B.Nord. | Accepted
Phania cajalbanica Borhidi & O.Muñiz | Accepted
Phania domingensis (Spreng.) Griseb. | Accepted
Phania matricarioides (Spreng.) Griseb. | Accepted
Phania multicaulis DC. | Accepted
Phania trinervia DC. | Accepted
Philactis fayi A.M.Torres | Accepted
Philactis nelsonii (Greenm.) S.F.Blake | Accepted
Philactis zinnioides Schrad. | Accepted
Philoglossa mimuloides (Hieron.) H.Rob. & Cuatrec. | Accepted
Philoglossa peruviana DC. | Accepted
Philyrophyllum brandbergense P.P.J.Herman | Accepted
Philyrophyllum schinzii O.Hoffm. | Accepted
Phitosia crocifolia (Boiss. & Heldr.) Kamari & Greuter | Accepted
Phoebanthus grandiflorus (Torr. & A.Gray) S.F.Blake | Accepted
Phoebanthus tenuifolius (Torr. & A.Gray) S.F.Blake | Accepted
Phyllocephalum courtallense (Wight) Narayana | Accepted
Phyllocephalum frutescens Blume | Accepted
Phyllocephalum indicum (Less.) K.Kirkman | Accepted
Phyllocephalum lilacinum (Dalzell & A.Gibson) S.M.Almeida & M.R.Almeida | Accepted
Phyllocephalum scabridum (DC.) K.Kirkman | Accepted
Phymaspermum acerosum (DC.) Källersjö | Accepted
