speciname | taxstat
Erica abbottii E.G.H.Oliv. | Accepted
Erica abelii E.G.H.Oliv. | Accepted
Erica abietina L. | Accepted
Erica accommodata Klotzsch ex Benth. | Accepted
Erica acockii Compton | Accepted
Erica acuta Andrews | Accepted
Erica adaequata Tausch | Accepted
Erica adnata L.Bolus | Accepted
Erica adunca Benth. | Accepted
Erica aemula L.Guthrie & Bolus | Accepted
Erica aestiva Markötter | Accepted
Erica affinis Benth. | Accepted
Erica agglutinans E.G.H.Oliv. | Accepted
Erica aggregata J.C.Wendl. | Accepted
Erica aghillana L.Guthrie & Bolus | Accepted
Erica albens L. | Accepted
Erica albertyniae E.G.H.Oliv. | Accepted
Erica albescens Klotzsch ex Benth. | Accepted
Erica albospicata Hilliard & B.L.Burtt | Accepted
Erica alexandri L.Guthrie & Bolus | Accepted
Erica alfredii L.Guthrie & Bolus | Accepted
Erica algida Bolus | Accepted
Erica alnea E.G.H.Oliv. | Accepted
Erica alopecurus Harv. | Accepted
Erica altevirens H.A.Baker | Accepted
Erica alticola L.Guthrie & Bolus | Accepted
Erica altiphila E.G.H.Oliv. | Accepted
Erica amalophylla E.G.H.Oliv. & I.M.Oliv. | Accepted
Erica amatolensis E.G.H.Oliv. | Accepted
Erica amicorum E.G.H.Oliv. | Accepted
Erica amidae E.G.H.Oliv. | Accepted
Erica amoena J.C.Wendl. | Accepted
Erica amphigena L.Guthrie & Bolus | Accepted
Erica ampullacea Curtis | Accepted
Erica andreaei Compton | Accepted
Erica andringitrensis (H.Perrier) Dorr & E.G.H.Oliv. | Accepted
Erica aneimena Dulfer | Accepted
Erica anemodes E.G.H.Oliv. | Accepted
Erica anguliger (N.E.Br.) E.G.H.Oliv. | Accepted
Erica angulosa E.G.H.Oliv. | Accepted
Erica annalis E.G.H.Oliv. & I.M.Oliv. | Accepted
Erica annectens L.Guthrie & Bolus | Accepted
Erica anomala Hilliard & B.L.Burtt | Accepted
Erica arachnocalyx E.G.H.Oliv. | Accepted
Erica arborea L. | Accepted
Erica arborescens (Willd.) E.G.H.Oliv. | Accepted
Erica arcuata Compton | Accepted
Erica ardens Andrews | Accepted
Erica arenaria L.Bolus | Accepted
Erica areolata (N.E.Br.) E.G.H.Oliv. | Accepted
Erica argentea Klotzsch ex Benth. | Accepted
Erica argyraea L.Guthrie & Bolus | Accepted
Erica aristata Andrews | Accepted
Erica armandiana Dorr & E.G.H.Oliv. | Accepted
Erica armata Klotzsch ex Benth. | Accepted
Erica artemisioides (Klotzsch) E.G.H.Oliv. | Accepted
Erica articularis L. | Accepted
Erica aspalathifolia Bolus | Accepted
Erica aspalathoides L.Guthrie & Bolus ex Schltr. | Accepted
Erica astroites L.Guthrie & Bolus | Accepted
Erica atherstonei Diels ex L.Guthrie & Bolus | Accepted
Erica atricha Dulfer | Accepted
Erica atromontana E.G.H.Oliv. | Accepted
Erica atropurpurea Dulfer | Accepted
Erica atrovinosa E.G.H.Oliv. | Accepted
Erica auriculata L.Guthrie & Bolus | Accepted
Erica australis L. | Accepted
Erica austronyassana Alm & T.C.E.Fr. | Accepted
Erica austroverna Hilliard | Accepted
Erica autumnalis L.Bolus | Accepted
Erica axillaris Thunb. | Accepted
Erica axilliflora Bartl. | Accepted
Erica azaleifolia Salisb. | Accepted
Erica baccans L. | Accepted
Erica bakeri T.M.Salter | Accepted
Erica banksia Andrews | Accepted
Erica barbigeroides E.G.H.Oliv. | Accepted
Erica barnettiana Dorr & E.G.H.Oliv. | Accepted
