id | species | address | source | latitude | longitude
528 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,Ankang Xian,,花鲤公社                                                                                                                                                                                                                           " | "brahms    " | 32.684715 | 109.029022
529 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,紫阳,,双河公社兰垭子                                                                                                                                                                                                                            " | "brahms    " | 32.520246 | 108.534229
529 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,紫阳,,双河公社兰垭子                                                                                                                                                                                                                            " | "brahms    " | 32.525011 | 108.551065
530 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,岚皋,,田猪坡                                                                                                                                                                                                                                    " | "brahms    " | 32.307001 | 108.902049
531 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,岚皋,,协作区铁佛公社                                                                                                                                                                                                                            " | "brahms    " | 32.307001 | 108.902049
532 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,岚皋,,佐龙沟正沟                                                                                                                                                                                                                                " | "brahms    " | 32.484812 | 108.883007
533 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,岚皋,,笔架山弘一庙                                                                                                                                                                                                                              " | "brahms    " | 32.307001 | 108.902049
534 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Sichuan,成都,,                                                                                                                                                                                                                                          " | "brahms    " | 30.572269 | 104.066541
534 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Sichuan,成都,,                                                                                                                                                                                                                                          " | "brahms    " | 30.697455 | 104.074005
535 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Sichuan,成都,,                                                                                                                                                                                                                                          " | "brahms    " | 30.572269 | 104.066541
535 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Sichuan,成都,,                                                                                                                                                                                                                                          " | "brahms    " | 30.697455 | 104.074005
536 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Sichuan,Emei Xian,Emei Shan,峨眉山洪椿坪至三道桥                                                                                                                                                                                                        " | "brahms    " | 29.601199 | 103.484504
537 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Sichuan,巫山,,                                                                                                                                                                                                                                          " | "brahms    " | 30.933462 | 107.950085
538 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Sichuan,,,峨山清音阁附近                                                                                                                                                                                                                                " | "brahms    " | 29.570194 | 103.461259
539 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Sichuan,Baoxing Xian,,                                                                                                                                                                                                                                  " | "brahms    " | 30.368126 | 102.814531
540 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Sichuan,奉节,,双店公社                                                                                                                                                                                                                                  " | "brahms    " | 30.651652 | 104.075931
