id | species | address | source | latitude | longitude
967 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,资源县,,延东乡                                                                                                                                                                                                                                  " | "brahms    " | 26.019592 | 110.669851
968 | "Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      " | "China,Guangxi,Xing'an Xian,,猫儿山龙塘江                                                                                                                                                                                                                      " | "brahms    " | 25.611705 | 110.67167
969 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,龙胜各族自治县,,三门区                                                                                                                                                                                                                          " | "brahms    " | 25.877306 | 110.142589
969 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,龙胜各族自治县,,三门区                                                                                                                                                                                                                          " | "brahms    " | 25.726102 | 109.865314
970 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,全州县,,龙水乡                                                                                                                                                                                                                                  " | "brahms    " | 25.928617 | 111.072926
971 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,全州县,,龙水镇                                                                                                                                                                                                                                  " | "brahms    " | 26.037169 | 110.998062
972 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,Xing'an Xian,,华江镇                                                                                                                                                                                                                            " | "brahms    " | 25.769066 | 110.476919
973 | "Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      " | "国外,,,,Greenbrier County                                                                                                                                                                                                                                     " | "brahms    " | 38.0198478 | -80.54384499999999
974 | "Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      " | "China,Hunan,,,产子坪                                                                                                                                                                                                                                          " | "brahms    " | 28.182851 | 111.519444
974 | "Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      " | "China,Hunan,,,产子坪                                                                                                                                                                                                                                          " | "brahms    " | 26.963472 | 110.553713
974 | "Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      " | "China,Hunan,,,产子坪                                                                                                                                                                                                                                          " | "brahms    " | 24.963829 | 111.016095
