familyid | latinname | namezh | lowertaxa | focvolume
10101 | Betulaceae | 桦木科 | 6 | FOC Vol.  4
20048 | Biebersteiniaceae | 熏倒牛科 | 1 | FOC Vol. 11
10102 | Bignoniaceae | 紫葳科 | 12 | FOC Vol. 18
10104 | Bixaceae | 红木科 | 1 | FOC Vol. 13
10108 | Blechnaceae | 乌毛蕨科 | 8 | FOC Vol.  2-3
10113 | Bombacaceae | 木棉科 | 3 | FOC Vol. 12
10115 | Boraginaceae | 紫草科 | 47 | FOC Vol. 16
10120 | Brassicaceae | 十字花科 | 107 | FOC Vol.  8
20002 | Bretschneideraceae | 伯乐树科 | 1 | FOC Vol.  8
10123 | Bromeliaceae | 凤梨科 | 1 | FOC Vol. 24
10133 | Burmanniaceae | 水玉簪科 | 3 | FOC Vol. 23
10134 | Burseraceae | 橄榄科 | 3 | FOC Vol. 11
10135 | Butomaceae | 花蔺科 | 1 | FOC Vol. 23
10136 | Buxaceae | 黄杨科 | 3 | FOC Vol. 11
10140 | Cabombaceae | 莼菜科 | 2 | FOC Vol.  6
10141 | Cactaceae | 仙人掌科 | 4 | FOC Vol. 13
10143 | Callitrichaceae | 水马齿科 | 1 | FOC Vol. 11
10148 | Calycanthaceae | 蜡梅科 | 2 | FOC Vol.  7
10152 | Campanulaceae | 桔梗科 | 16 | FOC Vol. 19
10154 | Cannabaceae | 大麻科 | 2 | FOC Vol.  5
10155 | Cannaceae | 美人蕉科 | 1 | FOC Vol. 24
10158 | Capparaceae | 山柑科 | 4 | FOC Vol.  7
10159 | Caprifoliaceae | 忍冬科 | 5 | FOC Vol. 19
10160 | Cardiopteridaceae | 心翼果科 | 1 | FOC Vol. 11
10161 | Caricaceae | 番木瓜科 | 1 | FOC Vol. 13
10162 | Carlemanniaceae | 香茜科 | 2 | FOC Vol. 19
10166 | Caryophyllaceae | 石竹科 | 30 | FOC Vol.  6
10167 | Casuarinaceae | 木麻黄科 | 1 | FOC Vol.  4
10170 | Celastraceae | 卫矛科 | 14 | FOC Vol. 11
10171 | Centrolepidaceae | 刺鳞草科 | 1 | FOC Vol. 24
10174 | Cephalotaxaceae | 三尖杉科 | 1 | FOC Vol.  4
10178 | Ceratophyllaceae | 金鱼藻科 | 1 | FOC Vol.  6
10180 | Cercidiphyllaceae | 连香树科 | 1 | FOC Vol.  6
10185 | Chenopodiaceae | 藜科 | 42 | FOC Vol.  5
10187 | Chloranthaceae | 金粟兰科 | 3 | FOC Vol.  4
20904 | Cibotiaceae | 金毛狗蕨科 | 1 | FOC Vol.  2-3
10193 | Circaeasteraceae | 星叶草科 | 1 | FOC Vol.  6
10194 | Cistaceae | 半日花科 | 1 | FOC Vol. 13
10199 | Cleomaceae | 白花菜科 | 5 | FOC Vol.  7
10200 | Clethraceae | 桤叶树科 | 1 | FOC Vol. 14
10203 | Clusiaceae | 藤黄科 | 8 | FOC Vol. 13
10205 | Cneoraceae | 牛筋果科 | 1 | FOC Vol. 11
10211 | Combretaceae | 使君子科 | 6 | FOC Vol. 13
10212 | Commelinaceae | 鸭跖草科 | 15 | FOC Vol. 24
10214 | Connaraceae | 牛栓藤科 | 6 | FOC Vol.  9
10216 | Convolvulaceae | 旋花科 | 20 | FOC Vol. 16
10218 | Coriariaceae | 马桑科 | 1 | FOC Vol. 11
10219 | Cornaceae | 山茱萸科 | 7 | FOC Vol. 14
10220 | Corsiaceae | 白玉簪科 | 1 | FOC Vol. 23
10224 | Costaceae | 闭鞘姜科 | 1 | FOC Vol. 24
10225 | Crassulaceae | 景天科 | 13 | FOC Vol.  8
10229 | Crypteroniaceae | 隐翼科 | 1 | FOC Vol. 13
10233 | Cucurbitaceae | 葫芦科 | 35 | FOC Vol. 19
10237 | Cupressaceae | 柏科 | 8 | FOC Vol.  4
10240 | Cyatheaceae | 桫椤科 | 2 | FOC Vol.  2-3
10241 | Cycadaceae | 苏铁科 | 1 | FOC Vol.  4
10244 | Cymodoceaceae | 丝粉藻科 | 3 | FOC Vol. 23
10245 | Cynomoriaceae | 锁阳科 | 1 | FOC Vol. 13
10246 | Cyperaceae | 莎草科 | 110 | FOC Vol. 23
20903 | Cystopteridaceae | 冷蕨科 | 4 | FOC Vol.  2-3
10254 | Daphniphyllaceae | 交让木科 | 1 | FOC Vol. 11
10256 | Davalliaceae | 骨碎补科 | 4 | FOC Vol.  2-3
10262 | Dennstaedtiaceae | 碗蕨科 | 7 | FOC Vol.  2-3
10265 | Diapensiaceae | 岩梅科 | 3 | FOC Vol. 14
10267 | Dichapetalaceae | 毒鼠子科 | 1 | FOC Vol. 11
20466 | Diervillaceae | 锦带花科 | 1 | FOC Vol. 19
10277 | Dilleniaceae | 五桠果科 | 2 | FOC Vol. 12
10280 | Dioscoreaceae | 薯蓣科 | 1 | FOC Vol. 24
20095 | Dipentodontaceae | 十齿花科 | 2 | FOC Vol. 11
20902 | Diplaziopsidaceae | 肠蕨科 | 1 | FOC Vol.  2-3
10282 | Dipsacaceae | 川续断科 | 4 | FOC Vol. 19
10283 | Dipteridaceae | 双扇蕨科 | 2 | FOC Vol.  2-3
10284 | Dipterocarpaceae | 龙脑香科 | 5 | FOC Vol. 13
10290 | Droseraceae | 茅膏菜科 | 2 | FOC Vol.  8
10291 | Dryopteridaceae | 鳞毛蕨科 | 69 | FOC Vol.  2-3
10293 | Ebenaceae | 柿树科 | 1 | FOC Vol. 15
10298 | Elaeagnaceae | 胡颓子科 | 2 | FOC Vol. 13
10299 | Elaeocarpaceae | 杜英科 | 2 | FOC Vol. 12
10302 | Elatinaceae | 沟繁缕科 | 2 | FOC Vol. 13
10313 | Ephedraceae | 麻黄科 | 1 | FOC Vol.  4
10315 | Equisetaceae | 木贼科 | 1 | FOC Vol.  2-3
10316 | Ericaceae | 杜鹃花科 | 88 | FOC Vol. 14
10317 | Eriocaulaceae | 谷精草科 | 1 | FOC Vol. 24
10322 | Erythroxylaceae | 古柯科 | 2 | FOC Vol. 11
10325 | Eucommiaceae | 杜仲科 | 1 | FOC Vol.  9
10327 | Euphorbiaceae | 大戟科 | 75 | FOC Vol. 11
10329 | Eupteleaceae | 领春木科 | 1 | FOC Vol.  6
10335 | Fabaceae | 豆科 | 201 | FOC Vol. 10
10338 | Fagaceae | 壳斗科 | 7 | FOC Vol.  4
10343 | Flacourtiaceae | 大风子科 | 12 | FOC Vol. 13
10344 | Flagellariaceae | 须叶藤科 | 1 | FOC Vol. 24
10349 | Frankeniaceae | 瓣鳞花科 | 1 | FOC Vol. 13
10362 | Gentianaceae | 龙胆科 | 33 | FOC Vol. 16
10367 | Geraniaceae | 牻牛儿苗科 | 2 | FOC Vol. 11
10368 | Gesneriaceae | 苦苣苔科 | 59 | FOC Vol. 18
10370 | Ginkgoaceae | 银杏科 | 1 | FOC Vol.  4
10373 | Gleicheniaceae | 里白科 | 3 | FOC Vol.  2-3
10375 | Gnetaceae | 买麻藤科 | 1 | FOC Vol.  4
10380 | Goodeniaceae | 草海桐科 | 2 | FOC Vol. 19
10394 | Haloragaceae | 小二仙草科 | 2 | FOC Vol. 13
10396 | Hamamelidaceae | 金缕梅科 | 18 | FOC Vol.  9
20143 | Helwingiaceae | 青荚叶科 | 1 | FOC Vol. 14
10407 | Hernandiaceae | 莲叶桐科 | 2 | FOC Vol.  7
10412 | Hippocastanaceae | 七叶树科 | 2 | FOC Vol. 12
10414 | Hippuridaceae | 杉叶藻科 | 1 | FOC Vol. 13
10426 | Hydrocharitaceae | 水鳖科 | 11 | FOC Vol. 23
10428 | Hydrophyllaceae | 田基麻科 | 1 | FOC Vol. 16
10433 | Hymenophyllaceae | 膜蕨科 | 7 | FOC Vol.  2-3
10440 | Hypodematiaceae | 肿足蕨科 | 2 | FOC Vol.  2-3
10447 | Icacinaceae | 茶茱萸科 | 12 | FOC Vol. 11
10450 | Illiciaceae | 八角科 | 1 | FOC Vol.  7
10452 | Iridaceae | 鸢尾科 | 3 | FOC Vol. 24
20790 | Isoetaceae | 水韭科 |  | FOC Vol.  2-3
10454 | Isoëtaceae | 水韭科 | 1 | FOC Vol.  2-3
10460 | Juglandaceae | 胡桃科 | 7 | FOC Vol.  4
10462 | Juncaceae | 灯心草科 | 2 | FOC Vol. 24
10463 | Juncaginaceae | 水麦冬科 | 1 | FOC Vol. 23
10476 | Lamiaceae | 唇形科 | 97 | FOC Vol. 17
10477 | Lardizabalaceae | 木通科 | 7 | FOC Vol.  6
10479 | Lauraceae | 樟科 | 25 | FOC Vol.  7
10482 | Lecythidaceae | 玉蕊科 | 1 | FOC Vol. 13
10484 | Leeaceae | 火筒树科 | 1 | FOC Vol. 12
10488 | Lemnaceae | 浮萍科 | 4 | FOC Vol. 23
10490 | Lentibulariaceae | 狸藻科 | 2 | FOC Vol. 19
10507 | Liliaceae | 百合科 | 58 | FOC Vol. 24
10510 | Linaceae | 亚麻科 | 4 | FOC Vol. 11
10511 | Lindsaeaceae | 鳞始蕨科 | 4 | FOC Vol.  2-3
20472 | Linnaeaceae | 北极花科 | 6 | FOC Vol. 19
10515 | Loganiaceae | 马钱科 | 8 | FOC Vol. 15
10516 | Lomariopsidaceae | 藤蕨科 | 2 | FOC Vol.  2-3
10520 | Loranthaceae | 桑寄生科 | 8 | FOC Vol.  5
10521 | Lowiaceae | 兰花蕉科 | 1 | FOC Vol. 24
10527 | Lycopodiaceae | 石松科 | 10 | FOC Vol.  2-3
10528 | Lygodiaceae | 海金沙科 | 1 | FOC Vol.  2-3
10529 | Lythraceae | 千屈菜科 | 10 | FOC Vol. 13
10530 | Magnoliaceae | 木兰科 | 13 | FOC Vol.  7
10533 | Malpighiaceae | 金虎尾科 | 4 | FOC Vol. 11
10534 | Malvaceae | 锦葵科 | 19 | FOC Vol. 12
10535 | Marantaceae | 竹竽科 | 4 | FOC Vol. 24
10536 | Marattiaceae | 合囊蕨科 | 3 | FOC Vol.  2-3
10539 | Marsileaceae | 蘋科 | 1 | FOC Vol.  2-3
10540 | Martyniaceae | 角胡麻科 | 1 | FOC Vol. 18
20180 | Mastixiaceae | 单室茱萸科 | 2 | FOC Vol. 14
10554 | Melastomataceae | 野牡丹科 | 21 | FOC Vol. 13
10555 | Meliaceae | 楝科 | 17 | FOC Vol. 11
10561 | Menispermaceae | 防己科 | 19 | FOC Vol.  7
10562 | Menyanthaceae | 睡菜科 | 2 | FOC Vol. 16
20193 | Molluginaceae | 粟米草科 | 3 | FOC Vol.  5
10583 | Moraceae | 桑科 | 9 | FOC Vol.  5
10584 | Morinaceae | 刺参科 | 2 | FOC Vol. 19
10585 | Moringaceae | 辣木科 | 1 | FOC Vol.  8
10588 | Musaceae | 芭蕉科 | 3 | FOC Vol. 24
10592 | Myoporaceae | 苦槛蓝科 | 1 | FOC Vol. 19
10594 | Myricaceae | 杨梅科 | 1 | FOC Vol.  4
10596 | Myristicaceae | 肉豆蔻科 | 3 | FOC Vol.  7
10598 | Myrsinaceae | 紫金牛科 | 6 | FOC Vol. 15
10599 | Myrtaceae | 桃金娘科 | 10 | FOC Vol. 13
10608 | Nelumbonaceae | 莲科 | 1 | FOC Vol.  6
10610 | Nepenthaceae | 猪笼草科 | 1 | FOC Vol.  8
10611 | Nephrolepidaceae | 肾蕨科 | 1 | FOC Vol.  2-3
20209 | Nitrariaceae | 白刺科 | 1 | FOC Vol. 11
10617 | Nyctaginaceae | 紫茉莉科 | 6 | FOC Vol.  5
10618 | Nymphaeaceae | 睡莲科 | 3 | FOC Vol.  6
10619 | Nyssaceae | 蓝果树科 | 3 | FOC Vol. 13
10620 | Ochnaceae | 金莲木科 | 3 | FOC Vol. 12
10624 | Olacaceae | 铁青树科 | 5 | FOC Vol.  5
10625 | Oleaceae | 木犀科 | 10 | FOC Vol. 15
10626 | Oleandraceae | 条蕨科 | 1 | FOC Vol.  2-3
