genusid | speciesid | latinname | namezh
135314 | 200028028 | Zigadenus sibiricus | 棋盘花
101808 | 200012408 | Anisadenia pubescens | 异腺草
101808 | 220000768 | Anisadenia saxatilis | 石异腺草
118675 | 242329805 | Linum altaicum | 阿尔泰亚麻
118675 | 242329806 | Linum amurense | 黑水亚麻
118675 | 242329808 | Linum corymbulosum | 长萼亚麻
118675 | 242329809 | Linum heterosepalum | 异萼亚麻
118675 | 242329811 | Linum nutans | 垂果亚麻
118675 | 242329812 | Linum pallescens | 短柱亚麻
118675 | 250063157 | Linum perenne | 宿根亚麻
118675 | 200012410 | Linum stelleroides | 野亚麻
118675 | 200012411 | Linum usitatissimum | 亚麻
128110 | 220011447 | Reinwardtia indica | 石海椒
133050 | 242352351 | Tirpitzia ovoidea | 米念芭
133050 | 200012413 | Tirpitzia sinensis | 青篱柴
100018 | 250096101 | Abelia ×grandiflora | 大花糯米条
100018 | 200022258 | Abelia chinensis | 糯米条
100018 | 200022261 | Abelia forrestii | 细瘦糯米条
100018 | 200022262 | Abelia macrotera | 二翅糯米条
100018 | 250096102 | Abelia uniflora | 蓪梗花
317598 | 250096280 | Diabelia serrata | 黄花双六道木
317598 | 250096281 | Diabelia spathulata | 温州双六道木
110317 | 200022265 | Dipelta elegans | 优美双盾木
110317 | 200022266 | Dipelta floribunda | 双盾木
110317 | 200022267 | Dipelta yunnanensis | 云南双盾木
117217 | 200022269 | Kolkwitzia amabilis | 蝟实
118652 | 200022277 | Linnaea borealis | 北极花
135239 | 242355476 | Zabelia biflora | 六道木
135239 | 242355481 | Zabelia dielsii | 南方六道木
135239 | 242426297 | Zabelia triflora | 醉鱼草状六道木
201209 | 200017821 | Buddleja albiflora | 巴东醉鱼草
201209 | 200017822 | Buddleja alternifolia | 互叶醉鱼草
201209 | 200017823 | Buddleja asiatica | 驳骨丹
201209 | 210000124 | Buddleja brachystachya | 短序醉鱼草
201209 | 210000125 | Buddleja candida | 密香醉鱼草
201209 | 210000126 | Buddleja colvilei | 大花醉鱼草
201209 | 200017824 | Buddleja crispa | 皱叶醉鱼草
201209 | 210000127 | Buddleja curviflora | 台湾醉鱼草
201209 | 200017825 | Buddleja davidii | 大叶醉鱼草
201209 | 210000128 | Buddleja delavayi | 腺叶醉鱼草
201209 | 210000129 | Buddleja fallowiana | 紫花醉鱼草
201209 | 210000130 | Buddleja forrestii | 滇川醉鱼草
201209 | 200017827 | Buddleja lindleyana | 醉鱼草
201209 | 210000131 | Buddleja macrostachya | 大序醉鱼草
201209 | 210000132 | Buddleja madagascariensis | 浆果醉鱼草
201209 | 250072375 | Buddleja microstachya |  
201209 | 210000133 | Buddleja myriantha | 酒药花醉鱼草
201209 | 210000134 | Buddleja nivea | 金沙江醉鱼草
201209 | 200017828 | Buddleja officinalis | 密蒙花
201209 | 210000135 | Buddleja paniculata | 喉药醉鱼草
201209 | 242444868 | Buddleja subcapitata |  
201209 | 210000136 | Buddleja yunnanensis | 云南醉鱼草
112621 | 210000541 | Fagraea ceilanica | 灰莉
113262 | 210000570 | Gardneria angustifolia | 狭叶蓬莱葛
113262 | 200017830 | Gardneria lanceolata | 披针叶蓬莱葛
113262 | 200017831 | Gardneria multiflora | 蓬莱葛
113262 | 210000571 | Gardneria nutans | 线叶蓬莱葛
113262 | 210000572 | Gardneria ovata | 卵叶蓬莱葛
113391 | 200017832 | Gelsemium elegans | 钩吻
113409 | 210000575 | Geniostoma rupestre | 髯管花
120832 | 210001293 | Mitrasacme indica | 尖帽花
120832 | 200017834 | Mitrasacme pygmaea | 水田白
120832 | 210001294 | Mitrasacme pygmaea var. confertifolia |  
120832 | 210001295 | Mitrasacme pygmaea var. grandiflora |  
120832 | 210001296 | Mitrasacme pygmaea var. pygmaea |  
120839 | 200017836 | Mitreola pedicellata | 毛叶度量草
120839 | 210001297 | Mitreola petiolata | 度量草
120839 | 210001298 | Mitreola petiolatoides | 小叶度量草
120839 | 210001299 | Mitreola reticulata | 网子度量草
131802 | 200017837 | Strychnos angustiflora | 牛眼马钱
131802 | 210002113 | Strychnos axillaris | 腋花马钱
131802 | 210002114 | Strychnos cathayensis | 华马钱
131802 | 210002115 | Strychnos cathayensis var. cathayensis |  
131802 | 210002116 | Strychnos cathayensis var. spinata |  
131802 | 210002117 | Strychnos ignatii | 吕宋果
131802 | 210002118 | Strychnos lucida | 腺叶马钱
131802 | 210002119 | Strychnos nitida | 毛柱马钱
131802 | 210002120 | Strychnos nux-blanda | 山马钱
131802 | 210002121 | Strychnos nux-vomica | 马钱子
131802 | 210002122 | Strychnos ovata | 密花马钱
131802 | 200017841 | Strychnos umbellata | 伞花马钱
131802 | 210002123 | Strychnos wallichiana | 长籽马钱
109588 | 200006524 | Dendrophthoe pentandra | 五蕊寄生
111519 | 200006525 | Elytranthe albida | 大苞鞘花
111519 | 200006526 | Elytranthe parasitica | 墨脱大苞鞘花
114928 | 200006527 | Helixanthera coccinea | 景洪离瓣寄生
114928 | 200006528 | Helixanthera guangxiensis | 广西离瓣寄生
114928 | 200006529 | Helixanthera parasitica | 离瓣寄生
114928 | 242414776 | Helixanthera pulchra | 密花离瓣寄生
114928 | 242324837 | Helixanthera sampsonii | 油茶离瓣寄生
114928 | 200006532 | Helixanthera scoriarum | 滇西离瓣寄生
114928 | 200006533 | Helixanthera terrestris | 林地离瓣寄生
118960 | 200006536 | Loranthus delavayi | 周树桑寄生
118960 | 200006537 | Loranthus guizhouensis | 南桑寄生
118960 | 200006538 | Loranthus kaoi | 台中桑寄生
118960 | 200006539 | Loranthus lambertianus | 吉隆桑寄生
118960 | 200006540 | Loranthus pseudo-odoratus | 华中桑寄生
118960 | 200006541 | Loranthus tanakae | 北桑寄生
119396 | 200006542 | Macrosolen bibracteolatus | 双花鞘花
119396 | 200006543 | Macrosolen cochinchinensis | 鞘花
119396 | 242414780 | Macrosolen geminatus | 勐腊鞘花
119396 | 200006544 | Macrosolen robinsonii | 短序鞘花
119396 | 200006546 | Macrosolen tricolor | 三色鞘花
129908 | 242414815 | Scurrula atropurpurea | 梨果寄生
129908 | 200006547 | Scurrula buddleioides | 滇藏梨果寄生
129908 | 242414816 | Scurrula buddleioides var. buddleioides | 滇藏梨果寄生(原变种)
129908 | 242414817 | Scurrula buddleioides var. heynei | 藏南梨果寄生
129908 | 200006548 | Scurrula chingii | 卵叶梨果寄生
129908 | 242347785 | Scurrula chingii var. chingii | 卵叶梨果寄生(原变种)
129908 | 200006549 | Scurrula chingii var. yunnanensis | 短柄梨果寄生
129908 | 200006550 | Scurrula elata | 高山寄生
129908 | 200006551 | Scurrula ferruginea | 锈毛梨果寄生
129908 | 200006552 | Scurrula gongshanensis | 贡山梨果寄生
129908 | 200006553 | Scurrula notothixoides | 小叶梨果寄生
129908 | 200006554 | Scurrula parasitica | 红花寄生
129908 | 200006555 | Scurrula parasitica var. graciliflora | 小红花寄生
129908 | 242347791 | Scurrula parasitica var. parasitica | 红花寄生(原变种)
129908 | 200006557 | Scurrula phoebe-formosanae | 楠树梨果寄生
129908 | 200006558 | Scurrula pulverulenta | 白花梨果寄生
132349 | 200006560 | Taxillus balansae | 栗毛钝果寄生
132349 | 200006561 | Taxillus caloreas | 松柏钝果寄生
