genusid | speciesid | latinname | namezh
100149 | 242300348 | Acanthus ebracteatus | 小花老鼠勒
100149 | 200021986 | Acanthus ilicifolius | 老鼠簕
100149 | 250096106 | Acanthus leucostachyus | 刺苞老鼠簕
101685 | 242302974 | Andrographis laxiflora | 疏花穿心莲
101685 | 200021989 | Andrographis paniculata | 穿心莲
103025 | 250000001 | Asystasia gangetica | 宽叶十万错
103025 | 250096120 | Asystasia gangetica subsp. gangetica | 宽叶十万错(原亚种)
103025 | 250096121 | Asystasia gangetica subsp. micrantha | 小花十万错
103025 | 250096122 | Asystasia neesiana | 白接骨
103025 | 250096123 | Asystasia nemorum | 十万错
103025 | 250096124 | Asystasia salicifolia | 囊管花
103517 | 200021992 | Barleria cristata | 假杜鹃
103517 | 242307784 | Barleria integrisepala | 全缘萼假杜鹃
103517 | 220001533 | Barleria prionitis | 黄花假杜鹃
103517 | 242420688 | Barleria strigosa | 紫萼假杜鹃
104077 | 242308577 | Blepharis maderaspatensis | 百勒花
106927 | 250096250 | Chroesthes lanceolata | 色萼花
107351 | 200021997 | Clinacanthus nutans | 鳄嘴花
107525 | 200021998 | Codonacanthus pauciflorus | 钟花草
108143 | 242315018 | Cosmianthemum guangxiense | 广西秋英爵床
108143 | 250096262 | Cosmianthemum knoxiifolium | 秋英爵床
108143 | 250096263 | Cosmianthemum viriduliflorum | 海南秋英爵床
109107 | 250096268 | Cystacanthus abbreviatus | 缩序火焰花
109107 | 242316670 | Cystacanthus affinis | 丽江鳔冠花
109107 | 250096269 | Cystacanthus colaniae | 广西火焰花
109107 | 200022000 | Cystacanthus paniculatus | 鳔冠花
109107 | 250096270 | Cystacanthus pyramidalis | 金塔火焰花
109107 | 250096271 | Cystacanthus vitellinus | 糙叶火焰花
109107 | 250096272 | Cystacanthus yangtsekiangensis | 金江鳔冠花
109107 | 242316671 | Cystacanthus yunnanensis | 滇鳔冠花
109954 | 242421981 | Dicliptera bupleuroides | 印度狗肝菜
109954 | 200022001 | Dicliptera chinensis | 狗肝菜
109954 | 242317924 | Dicliptera elegans | 优雅狗肝菜
109954 | 242317925 | Dicliptera induta | 毛狗肝菜
111202 | 250096287 | Echinacanthus lofouensis | 黄花恋岩花
111202 | 242319647 | Echinacanthus longipes | 长柄恋岩花
111202 | 242319648 | Echinacanthus longzhouensis | 龙州恋岩花
111901 | 250096296 | Eranthemum austrosinense | 华南可爱花
111901 | 250096297 | Eranthemum austrosinense var. austrosinense | 华南可爱花(原变种)
111901 | 250096298 | Eranthemum austrosinense var. pubipetalum | 毛冠可爱花
111901 | 250096299 | Eranthemum tetragonum | 云南可爱花
114314 | 250096378 | Gymnostachyum listeri | 云南裸柱草
114314 | 242324244 | Gymnostachyum sinense | 华裸柱草
114314 | 242324245 | Gymnostachyum subrosulatum | 矮裸柱草
116043 | 250096420 | Hygrophila biplicata | 连丝草
116043 | 242325795 | Hygrophila erecta | 小叶水蓑衣
116043 | 250096421 | Hygrophila phlomoides | 毛水蓑衣
116043 | 242325797 | Hygrophila pogonocalyx | 大安水蓑衣
116043 | 242325798 | Hygrophila polysperma | 小狮子草
116043 | 250096422 | Hygrophila ringens | 水蓑衣
116043 | 250096423 | Hygrophila ringens var. longihirsuta | 贵港水蓑衣
116043 | 250096424 | Hygrophila ringens var. ringens | 水蓑衣(原变种)
116236 | 242413417 | Hypoestes cumingiana | 枪刀菜
116236 | 242413418 | Hypoestes purpurea | 红丝线
116236 | 200022008 | Hypoestes triflora | 三花枪刀药
116583 | 242327225 | Isoglossa collina | 叉序草
116583 | 250096425 | Isoglossa glabra | 光叉序草
116893 | 242327583 | Justicia acutangula | 棱茎爵床
