genusid | speciesid | latinname | namezh
105874 | 250084159 | Catha edulis | 巧茶
105982 | 242445049 | Celastrus aculeatus | 过山枫
105982 | 200012781 | Celastrus angulatus | 苦皮藤
105982 | 250084153 | Celastrus cuneatus | 小南蛇藤
105982 | 200012782 | Celastrus flagellaris | 刺苞南蛇藤
105982 | 250084135 | Celastrus franchetianus | 洱源南蛇藤
105982 | 200012783 | Celastrus gemmatus | 大芽南蛇藤
105982 | 250084146 | Celastrus glaucophyllus | 灰叶南蛇藤
105982 | 200012784 | Celastrus hindsii | 青江藤
105982 | 242311656 | Celastrus hirsutus | 硬毛南蛇藤
105982 | 242311657 | Celastrus homaliifolius | 小果南蛇藤
105982 | 242421226 | Celastrus hookeri | 滇边南蛇藤
105982 | 242311659 | Celastrus hypoleucoides | 薄叶南蛇藤
105982 | 200012785 | Celastrus hypoleucus | 粉背南蛇藤
105982 | 242311664 | Celastrus kusanoi | 圆叶南蛇藤
105982 | 250098145 | Celastrus monospermoides |  
105982 | 250084137 | Celastrus monospermus | 独子藤
105982 | 250084150 | Celastrus oblanceifolius | 窄叶南蛇藤
105982 | 250098005 | Celastrus obovatifolius |  
105982 | 200012786 | Celastrus orbiculatus | 南蛇藤
105982 | 200012787 | Celastrus paniculatus | 灯油藤
105982 | 242412595 | Celastrus punctatus | 东南南蛇藤
105982 | 200012788 | Celastrus rosthornianus | 短梗南蛇藤
105982 | 250084213 | Celastrus rosthornianus var. loeseneri | 宽叶短梗南蛇藤
105982 | 250084212 | Celastrus rosthornianus var. rosthornianus | 短梗南蛇藤(原变种)
105982 | 250084148 | Celastrus rugosus | 皱叶南蛇藤
105982 | 317191 | Celastrus sect. Axillares | 腋花组
105982 | 317192 | Celastrus sect. Celastrus | 圆锥组
105982 | 317185 | Celastrus sect. Sempervirentes | 独子藤组
105982 | 242421235 | Celastrus stylosus | 显柱南蛇藤
105982 | 250084215 | Celastrus stylosus var. puberulus | 毛脉显柱南蛇藤
105982 | 250084214 | Celastrus stylosus var. stylosus | 显柱南蛇藤(原变种)
105982 | 250084139 | Celastrus tonkinensis | 皱果南蛇藤
105982 | 250084149 | Celastrus vaniotii | 长序南蛇藤
105982 | 250084143 | Celastrus virens | 绿独子藤
105982 | 250098121 | Celastrus yuloensis |  
112340 | 200012790 | Euonymus acanthocarpus | 刺果卫矛
112340 | 250084024 | Euonymus acanthoxanthus | 三脉卫矛
112340 | 250084038 | Euonymus actinocarpus | 星刺卫矛
112340 | 200012791 | Euonymus aculeatus | 小千金
112340 | 250084037 | Euonymus aculeolus | 微刺卫矛
112340 | 200012792 | Euonymus alatus | 卫矛
112340 | 242445412 | Euonymus balansae | 刺猬卫矛
112340 | 242321210 | Euonymus bockii | 南川卫矛
112340 | 250084093 | Euonymus bullatus | 凸脉卫矛
112340 | 200012794 | Euonymus carnosus | 肉花卫矛
112340 | 200012795 | Euonymus centidens | 百齿卫矛
112340 | 242321217 | Euonymus chengii | 静容卫矛
112340 | 242445415 | Euonymus chenmoui | 陈谋卫矛
112340 | 242445416 | Euonymus chloranthoides | 缙云卫矛
112340 | 250084035 | Euonymus chui | 隐刺卫矛
112340 | 242321220 | Euonymus clivicola | 岩波卫矛
112340 | 200012797 | Euonymus cornutus | 角翅卫矛
112340 | 200012798 | Euonymus dielsianus | 裂果卫矛
112340 | 250084102 | Euonymus distichus | 双歧卫矛
112340 | 250084030 | Euonymus dolichopus | 长梗卫矛
112340 | 242422349 | Euonymus echinatus | 棘刺卫矛
112340 | 200012799 | Euonymus euscaphis | 鸭椿卫矛
112340 | 242321241 | Euonymus ficoides | 榕叶卫矛
112340 | 242422350 | Euonymus fimbriatus | 遂叶卫矛
112340 | 200012800 | Euonymus fortunei | 扶芳藤
112340 | 242422352 | Euonymus frigidus | 冷地卫矛
112340 | 200012801 | Euonymus gibber | 流苏卫矛
112340 | 200012802 | Euonymus giraldii | 纤齿卫矛
112340 | 242445420 | Euonymus glaber | 帽果卫矛
112340 | 242321254 | Euonymus gracillimus | 纤细卫矛
112340 | 200012803 | Euonymus grandiflorus | 大花卫矛
112340 | 242321256 | Euonymus hainanensis | 海南卫矛
112340 | 200012804 | Euonymus hamiltonianus | 西南卫矛
112340 | 242321259 | Euonymus hui | 秀英卫矛
112340 | 242321260 | Euonymus hukuangensis | 湖广卫矛
112340 | 242445424 | Euonymus hupehensis | 湖北卫矛
112340 | 200012806 | Euonymus japonicus | 冬青卫矛
112340 | 242445425 | Euonymus jinyangensis | 金阳卫矛
112340 | 242445426 | Euonymus kachinensis | 克钦卫矛
112340 | 242321270 | Euonymus kengmaensis | 耿马卫矛
112340 | 242445427 | Euonymus kweichowensis | 贵州卫矛
112340 | 250084029 | Euonymus laxicymosus | 稀序卫矛
112340 | 200012808 | Euonymus laxiflorus | 疏花卫矛
112340 | 242321276 | Euonymus lichiangensis | 丽江卫矛
112340 | 242422360 | Euonymus lucidus | 垂序卫矛
112340 | 242321279 | Euonymus lushanensis | 庐山卫矛
112340 | 242321280 | Euonymus maackii | 白杜
112340 | 200012810 | Euonymus macropterus | 黄心卫矛
112340 | 200012811 | Euonymus microcarpus | 小果卫矛
112340 | 200012813 | Euonymus myrianthus | 大果卫矛
112340 | 200012814 | Euonymus nanoides | 小卫矛
112340 | 200012815 | Euonymus nanus | 矮卫矛
112340 | 242321289 | Euonymus nitidus | 中华卫矛
112340 | 200012817 | Euonymus oxyphyllus | 垂丝卫矛
112340 | 250084032 | Euonymus pallidifolius | 淡绿叶卫矛
112340 | 242321296 | Euonymus parasimilis | 碧江卫矛
112340 | 250084028 | Euonymus percoriaceus | 西畴卫矛
112340 | 250084027 | Euonymus phellomanus | 栓翅卫矛
112340 | 242445435 | Euonymus pittosporoides | 海桐卫矛
112340 | 242321303 | Euonymus potingensis | 保亭卫矛
112340 | 250084156 | Euonymus prismatomerioides | 显脉卫矛
112340 | 242445437 | Euonymus pseudovagans | 假游藤卫矛
112340 | 250084041 | Euonymus rehderianus | 短翅卫矛
112340 | 242445438 | Euonymus sachalinensis | 东北卫矛
112340 | 250084026 | Euonymus salicifolius | 柳叶卫矛
112340 | 200012821 | Euonymus sanguineus | 石枣子
112340 | 250084040 | Euonymus schensianus | 陕西卫矛
112340 | 317205 | Euonymus sect. Echinococcus | 刺果卫矛组
112340 | 317190 | Euonymus sect. Euonymus | 卫矛组
112340 | 317200 | Euonymus sect. Ilicifolii | 冬青卫矛组
112340 | 317201 | Euonymus sect. Melanocarya | 深裂卫矛组
112340 | 317184 | Euonymus sect. Uniloculares | 翅果卫矛组
112340 | 242445441 | Euonymus semenovii | 中亚卫矛
112340 | 250084025 | Euonymus serratifolius | 印度卫矛
112340 | 242321326 | Euonymus spraguei | 疏刺卫矛
112340 | 250084039 | Euonymus subcordatus | 近心叶卫矛
112340 | 317176 | Euonymus subg. Euonymus | 卫矛亚属
112340 | 317177 | Euonymus subg. Kalonymus | 翅果卫矛亚属
112340 | 242445443 | Euonymus szechuanensis | 四川卫矛
112340 | 242445444 | Euonymus tashiroi | 菱叶卫矛
112340 | 250084022 | Euonymus tenuiserratus | 柔齿卫矛
112340 | 250084104 | Euonymus ternifolius | 韩氏卫矛
112340 | 242445447 | Euonymus theacola | 茶色卫矛
112340 | 242422367 | Euonymus theifolius | 茶叶卫矛
112340 | 242422368 | Euonymus tingens | 染用卫矛
112340 | 242445449 | Euonymus tonkinensis | 北部湾卫矛
112340 | 242321335 | Euonymus tsoi | 狭叶卫矛
112340 | 242321337 | Euonymus vaganoides | 拟游藤卫矛
112340 | 242422369 | Euonymus vagans | 游藤卫矛
112340 | 200012825 | Euonymus venosus | 曲脉卫矛
112340 | 250084047 | Euonymus verrucocarpus | 瘤果卫矛
112340 | 200012826 | Euonymus verrucosoides | 疣点卫矛
112340 | 200012827 | Euonymus verrucosus | 瘤枝卫矛
112340 | 242445452 | Euonymus viburnoides | 荚谜卫矛
112340 | 200012828 | Euonymus wilsonii | 长刺卫矛
112340 | 242321343 | Euonymus wui | 征镒卫矛
112340 | 242445453 | Euonymus yunnanensis | 云南卫矛
113773 | 250084154 | Glyptopetalum aquifolium | 冬青沟瓣
113773 | 250084160 | Glyptopetalum feddei | 罗甸沟瓣
113773 | 200012829 | Glyptopetalum fengii | 海南沟瓣
113773 | 250084144 | Glyptopetalum geloniifolium | 白树沟瓣
113773 | 242323677 | Glyptopetalum ilicifolium | 刺叶沟瓣
113773 | 250084161 | Glyptopetalum longepedunculatum | 细梗沟瓣
113773 | 250084138 | Glyptopetalum longipedicellatum | 长梗沟瓣
113773 | 250084523 | Glyptopetalum reticulinerve |  
113773 | 250084136 | Glyptopetalum rhytidophyllum | 皱叶沟瓣
113773 | 250084140 | Glyptopetalum sclerocarpum | 硬果沟瓣
114311 | 242324238 | Gymnosporia berberoides | 小檗裸实
114311 | 242324239 | Gymnosporia diversifolia | 变叶裸实
114311 | 250084155 | Gymnosporia emarginata | 台湾裸实
114311 | 250084165 | Gymnosporia esquirolii | 贵州裸实
114311 | 250084163 | Gymnosporia graciliramula | 细梗裸实
114311 | 250084164 | Gymnosporia jinyangensis | 金阳美登木
114311 | 250084145 | Gymnosporia orbiculata | 圆叶裸实
114311 | 250068932 | Gymnosporia royleana | 被子裸实
114311 | 242422727 | Gymnosporia rufa | 淡红美登木
114311 | 242324241 | Gymnosporia tiaoloshanensis | 吊罗裸实
114311 | 250084166 | Gymnosporia variabilis | 刺茶裸实
118811 | 200012842 | Loeseneriella concinna | 程香仔树
118811 | 200012843 | Loeseneriella griseoramula | 灰枝翅子藤
118811 | 200012844 | Loeseneriella lenticellata | 皮孔翅子藤
118811 | 200012845 | Loeseneriella merrilliana | 翅子藤
118811 | 200012846 | Loeseneriella yunnanensis | 云南翅子藤
119916 | 242331684 | Maytenus austroyunnanensis | 滇南美登木
119916 | 242331686 | Maytenus confertiflora | 密花美登木
119916 | 250089888 | Maytenus dongfangensis |  
119916 | 242331689 | Maytenus guangxiensis | 广西美登木
119916 | 250084162 | Maytenus hainanensis | 海南美登木
119916 | 200012830 | Maytenus hookeri | 美登木
119916 | 242331691 | Maytenus inflata | 胀果美登木
120689 | 250084101 | Microtropis biflora | 双花假卫矛
120689 | 250089880 | Microtropis dehuaensis |  
120689 | 220008593 | Microtropis discolor | 异色假卫矛
120689 | 250084112 | Microtropis fallax | 越南假卫矛
120689 | 242332631 | Microtropis fokienensis | 福建假卫矛
120689 | 242332632 | Microtropis gracilipes | 密花假卫矛
120689 | 250084107 | Microtropis henryi | 滇东假卫矛
120689 | 250084108 | Microtropis hexandra | 六蕊假卫矛
120689 | 242413724 | Microtropis japonica | 日本假卫矛
120689 | 250084096 | Microtropis macrophylla | 大叶假卫矛
120689 | 250084147 | Microtropis malipoensis | 麻栗坡假卫矛
120689 | 242445217 | Microtropis obliquinervia | 斜脉假卫矛
120689 | 250084098 | Microtropis obscurinervia | 隐脉假卫矛
120689 | 250084100 | Microtropis oligantha | 逢春假卫矛
120689 | 242332635 | Microtropis osmanthoides | 木樨假卫矛
120689 | 250084110 | Microtropis pallens | 淡色假卫矛
120689 | 250084125 | Microtropis paucinervia | 少脉假卫矛
120689 | 250084113 | Microtropis petelotii | 广序假卫矛
120689 | 250084109 | Microtropis pyramidalis | 塔蕾假卫矛
120689 | 250084114 | Microtropis reticulata | 网脉假卫矛
120689 | 317196 | Microtropis sect. Cymosopaniculatae | 聚伞圆锥组
120689 | 317187 | Microtropis sect. Microtropis | 密花组
120689 | 317198 | Microtropis sect. Remotiflorae | 疏花组
120689 | 250084157 | Microtropis semipaniculata | 复序假卫矛
120689 | 250093127 | Microtropis shenzhenensis |  
120689 | 250084106 | Microtropis sphaerocarpa | 圆果假卫矛
120689 | 250084111 | Microtropis submembranacea | 灵香假卫矛
120689 | 200012832 | Microtropis tetragona | 方枝假卫矛
120689 | 250084158 | Microtropis thyrsiflora | 大序假卫矛
120689 | 200012833 | Microtropis triflora | 三花假卫矛
